system:index,distance_to_permanent_water_m,event_date,event_id,event_type,flood_area_m2,flood_fraction,grid_center_lat,grid_center_lon,grid_id,label_method_version,observed_flooded,sentinel_post_id,sentinel_pre_id,.geo
"564,4170",909.7391295460112,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.847745255520337,72.93334407127566,"564,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[282000.0,2085000.0],[282500.0,2085000.0],[282500.0,2085500.0],[282000.0,2085500.0],[282000.0,2085000.0]]]}"
"565,4170",1963.8366954790097,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.847797840785777,72.93808727378418,"565,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[282500.0,2085000.0],[283000.0,2085000.0],[283000.0,2085500.0],[282500.0,2085500.0],[282500.0,2085000.0]]]}"
"566,4170",2934.0658945164737,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.847850305538685,72.94283049193567,"566,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[283000.0,2085000.0],[283500.0,2085000.0],[283500.0,2085500.0],[283000.0,2085500.0],[283000.0,2085000.0]]]}"
"567,4170",2630.3662975676834,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.847902649763682,72.94757372572273,"567,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[283500.0,2085000.0],[284000.0,2085000.0],[284000.0,2085500.0],[283500.0,2085500.0],[283500.0,2085000.0]]]}"
"568,4170",1359.2945363453885,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.847954873208714,72.95231697517,"568,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[284000.0,2085000.0],[284500.0,2085000.0],[284500.0,2085500.0],[284000.0,2085500.0],[284000.0,2085000.0]]]}"
"569,4170",702.2513455454725,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.84800697592313,72.95706024021116,"569,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[284500.0,2085000.0],[285000.0,2085000.0],[285000.0,2085500.0],[284500.0,2085500.0],[284500.0,2085000.0]]]}"
"570,4170",739.486702634118,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.848058958138672,72.96180352073019,"570,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[285000.0,2085000.0],[285500.0,2085000.0],[285500.0,2085500.0],[285000.0,2085500.0],[285000.0,2085000.0]]]}"
"571,4170",669.1611694848208,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.848110819718748,72.96654681684626,"571,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[285500.0,2085000.0],[286000.0,2085000.0],[286000.0,2085500.0],[285500.0,2085500.0],[285500.0,2085000.0]]]}"
"572,4170",760.2883879078071,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.84816256062855,72.97129012829132,"572,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[286000.0,2085000.0],[286500.0,2085000.0],[286500.0,2085500.0],[286000.0,2085500.0],[286000.0,2085000.0]]]}"
"573,4170",1110.1681912758627,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.84821418089167,72.97603345543872,"573,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[286500.0,2085000.0],[287000.0,2085000.0],[287000.0,2085500.0],[286500.0,2085500.0],[286500.0,2085000.0]]]}"
"574,4170",819.4830505289408,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.84826568053765,72.98077679763277,"574,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[287000.0,2085000.0],[287500.0,2085000.0],[287500.0,2085500.0],[287000.0,2085500.0],[287000.0,2085000.0]]]}"
"575,4170",1909.3800331468708,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.848317059400106,72.98552015561243,"575,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[287500.0,2085000.0],[288000.0,2085000.0],[288000.0,2085500.0],[287500.0,2085500.0],[287500.0,2085000.0]]]}"
"576,4170",1793.967844901045,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.84836831780718,72.99026352839515,"576,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[288000.0,2085000.0],[288500.0,2085000.0],[288500.0,2085500.0],[288000.0,2085500.0],[288000.0,2085000.0]]]}"
"577,4170",1371.9156441758182,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.84841945547014,72.99500691702802,"577,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[288500.0,2085000.0],[289000.0,2085000.0],[289000.0,2085500.0],[288500.0,2085500.0],[288500.0,2085000.0]]]}"
"578,4170",2212.2717126430957,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.848470472453215,72.9997503205332,"578,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[289000.0,2085000.0],[289500.0,2085000.0],[289500.0,2085500.0],[289000.0,2085500.0],[289000.0,2085000.0]]]}"
"579,4170",3522.696418140287,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.848521368712003,73.00449373939908,"579,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[289500.0,2085000.0],[290000.0,2085000.0],[290000.0,2085500.0],[289500.0,2085500.0],[289500.0,2085000.0]]]}"
"580,4170",4127.565924723949,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.848572144397078,73.00923717340129,"580,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[290000.0,2085000.0],[290500.0,2085000.0],[290500.0,2085500.0],[290000.0,2085500.0],[290000.0,2085000.0]]]}"
"581,4170",2869.683711429576,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.84862279940771,73.01398062269092,"581,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[290500.0,2085000.0],[291000.0,2085000.0],[291000.0,2085500.0],[290500.0,2085500.0],[290500.0,2085000.0]]]}"
"582,4170",1591.5854206540182,2018-07-19 01:02:53,EV_2018_07_19,flood,0.0,0.0,18.848673333726286,73.0187240867999,"582,4170",1.0,0,S1A_IW_GRDH_1SDV_20180719T010253_20180719T010318_022856_027A79_D005,S1A_IW_GRDH_1SDV_20180707T010252_20180707T010317_022681_02751F_438D,"{""geodesic"":false,""crs"":{""type"":""name"",""properties"":{""name"":""EPSG:32643""}},""type"":""Polygon"",""coordinates"":[[[291000.0,2085000.0],[291500.0,2085000.0],[291500.0,2085500.0],[291000.0,2085500.0],[291000.0,2085000.0]]]}"
