cell_id,event_id,event_date,lat,lon,bmc_ward_code,rainfall_24h_mm,antecedent_rainfall_3d_mm,antecedent_rainfall_7d_mm,peak_hourly_rainfall_mm,elevation_mean_m,slope_mean_deg,builtup_fraction,water_fraction,vegetation_fraction,dist_to_water_m,dist_to_drainage_m,flood_area_m2,flood_fraction,observed_flooded
CELL_0001,EV_2019_07_02,2019-07-02,19.130701,72.779974,UNKNOWN,375.2,180.1,265.4,48.5,21.51,2.49,0.39,0.0,0.16,4320.8,4320.8,16450.0,0.0658,1
CELL_0002,EV_2019_07_02,2019-07-02,19.135216,72.779913,UNKNOWN,375.2,180.1,265.4,48.5,21.31,2.49,0.39,0.0,0.16,4346.5,4346.5,16450.0,0.0658,1
CELL_0003,EV_2019_07_02,2019-07-02,19.157793,72.779611,UNKNOWN,375.2,180.1,265.4,48.5,20.58,2.5,0.39,0.0,0.16,5244.4,5244.4,16450.0,0.0658,1
CELL_0004,EV_2019_07_02,2019-07-02,19.162308,72.779551,UNKNOWN,375.2,180.1,265.4,48.5,20.48,2.5,0.39,0.0,0.16,5543.2,5543.2,16450.0,0.0658,1
CELL_0005,EV_2019_07_02,2019-07-02,19.166824,72.77949,UNKNOWN,375.2,180.1,265.4,48.5,20.4,2.5,0.39,0.0,0.16,5869.3,5869.3,16450.0,0.0658,1
CELL_0006,EV_2019_07_02,2019-07-02,19.207462,72.778945,UNKNOWN,375.2,180.1,265.4,48.5,20.38,2.5,0.39,0.0,0.16,5179.4,5179.4,16450.0,0.0658,1
CELL_0007,EV_2019_07_02,2019-07-02,19.211977,72.778884,UNKNOWN,375.2,180.1,265.4,48.5,20.48,2.5,0.39,0.0,0.16,5324.4,5324.4,16450.0,0.0658,1
CELL_0008,EV_2019_07_02,2019-07-02,19.216492,72.778824,UNKNOWN,375.2,180.1,265.4,48.5,20.6,2.5,0.39,0.0,0.16,5511.0,5511.0,16450.0,0.0658,1
CELL_0009,EV_2019_07_02,2019-07-02,19.221008,72.778763,R/C,375.2,180.1,265.4,48.5,27.34,4.2,0.314,0.0,0.254,5735.3,5735.3,13250.0,0.053,1
CELL_0010,EV_2019_07_02,2019-07-02,19.225523,72.778702,R/C,375.2,180.1,265.4,48.5,27.49,4.2,0.314,0.0,0.254,5953.2,5953.2,13250.0,0.053,1
