locality_name,flooded_km2_2018,flooded_km2_2019,flooded_km2_2020,flooded_km2_2021,flooded_km2_2022,flooded_km2_2023,flooded_km2_2024,flooded_km2_2025
Colaba,0.12,0.08,0.15,0.11,0.09,0.13,0.10,0.14
Sandhurst Road,0.31,0.28,0.45,0.33,0.29,0.38,0.35,0.41
Marine Lines,0.09,0.07,0.11,0.08,0.06,0.10,0.08,0.09
Grand Road,0.52,0.48,0.67,0.55,0.50,0.61,0.58,0.64
Byculla,0.88,0.79,1.02,0.91,0.83,0.97,0.94,1.01
Parel,1.23,1.11,1.45,1.28,1.18,1.37,1.31,1.42
Elphinstone,1.19,1.08,1.41,1.24,1.14,1.33,1.27,1.38
Matunga,0.74,0.68,0.89,0.77,0.71,0.84,0.80,0.86
Dadar,1.05,0.97,1.23,1.09,1.01,1.16,1.11,1.20
Bandra,0.63,0.58,0.77,0.66,0.61,0.72,0.68,0.74
Khar,0.58,0.53,0.70,0.61,0.55,0.66,0.62,0.68
Andheri East,1.41,1.29,1.62,1.45,1.35,1.54,1.48,1.59
Andheri West,1.18,1.07,1.38,1.22,1.13,1.31,1.25,1.36
Kurla,1.67,1.52,1.89,1.71,1.59,1.81,1.74,1.85
Chembur East,0.94,0.86,1.09,0.97,0.89,1.03,0.99,1.06
Chembur West,0.89,0.81,1.03,0.92,0.84,0.98,0.94,1.00
Ghatkopar,1.38,1.26,1.58,1.42,1.32,1.51,1.45,1.55
Malad,1.29,1.18,1.48,1.33,1.23,1.42,1.36,1.46
Goregaon,1.11,1.01,1.29,1.14,1.06,1.22,1.17,1.26
Borivali,0.95,0.87,1.10,0.98,0.90,1.04,1.00,1.07
Dahisar,0.82,0.75,0.96,0.85,0.78,0.90,0.86,0.93
Kandivali,1.04,0.95,1.21,1.07,0.99,1.14,1.09,1.18
Bhandup,1.55,1.41,1.76,1.58,1.48,1.68,1.62,1.73
Mulund,0.71,0.65,0.83,0.74,0.68,0.79,0.75,0.81
