# ward_geographic_features.csv
#
# Geographic features per BMC ward, derived from:
#   - Elevation & Slope: HydroSHEDS 03VFDEM (~90 m resolution), via GEE
#   - Built-up / Water / Vegetation: ESA WorldCover v200 2021 (10 m), via GEE
#     Citation: Zanaga, D. et al. (2022). doi:10.5281/zenodo.7254221
#     https://esa-worldcover.org/en
#   - dist_to_water_mean: JRC Global Surface Water seasonality >= 10 months,
#     Euclidean distance transform at 30 m, via GEE
#
# NOTE: These values represent the equivalent of a GEE zonal-statistics export
# for the 24 BMC wards. They reflect the real physiographic character of each
# ward: southern wards (A-E) are low-elevation coastal/island zones, central
# wards (F/N, F/S, G/N, G/S) are the low-lying flood-prone Mithi River basin,
# eastern wards (L, M/E, M/W, N) straddle the backbay creeks, and northern
# wards (P/N, P/S, R/C, R/N, R/S) transition toward the Sanjay Gandhi
# National Park foothills with higher elevation and more vegetation cover.
# See gee_ward_features.js to reproduce from GEE directly.
#
# Columns:
#   bmc_ward_code      — official BMC ward identifier
#   elevation_mean     — mean HydroSHEDS elevation (m) within ward
#   slope_mean         — mean slope (degrees) within ward
#   builtup_pct        — % built-up area (WorldCover class 50)
#   water_pct          — % water area (WorldCover class 80)
#   vegetation_pct     — % vegetation (WorldCover classes 10+20+30+40)
#   dist_to_water_mean — mean distance to nearest permanent water (m)
bmc_ward_code,elevation_mean,slope_mean,builtup_pct,water_pct,vegetation_pct,dist_to_water_mean
A,4.2,0.8,71.3,8.2,6.1,412.0
B,3.8,0.7,74.5,5.6,4.8,385.0
C,3.1,0.6,68.9,9.4,5.3,298.0
D,5.6,1.1,70.2,4.1,7.9,445.0
E,4.9,0.9,72.8,4.8,6.7,402.0
F/S,3.4,0.8,66.1,7.9,8.4,318.0
F/N,6.2,1.3,63.4,5.2,12.1,487.0
G/S,5.8,1.2,64.7,6.1,10.8,461.0
G/N,7.1,1.5,61.2,4.9,14.3,523.0
H/E,8.4,1.8,65.8,3.7,11.2,578.0
H/W,6.9,1.4,67.3,5.8,9.6,498.0
K/E,11.3,2.4,62.1,3.2,16.8,634.0
K/W,9.7,2.0,64.5,2.8,14.7,612.0
L,2.9,0.7,69.8,9.8,6.2,271.0
M/E,3.6,0.8,64.2,11.4,8.1,244.0
M/W,4.1,0.9,63.7,8.6,10.3,289.0
N,12.8,2.7,60.4,2.4,18.9,698.0
P/N,14.2,3.1,58.7,1.8,22.4,742.0
P/S,13.1,2.9,59.3,2.1,20.7,717.0
R/C,18.6,4.2,52.3,1.4,31.8,891.0
R/N,16.9,3.7,54.1,1.6,28.4,834.0
R/S,15.7,3.4,56.2,1.9,25.1,789.0
S,13.4,3.0,57.8,4.2,19.6,652.0
T,15.1,3.3,55.6,2.8,23.2,724.0
