Model,LOOCV_RMSE,LOOCV_MAE,LOOCV_R2,Train_R2
1. Dummy Mean Baseline,0.037598,0.02955,-0.092975,0.0
2. Ridge (alpha=1.0),0.034567,0.028506,0.076144,0.414187
"3. Ridge (GridCV: 0.01, 0.1, 1, 10, 100)",0.039081,0.032067,-0.180889,0.414187
"4a. ElasticNet (alpha=0.01, l1=0.5)",0.037069,0.028575,-0.06241,0.216695
"4b. ElasticNet (GridCV: alpha in [1e-3..1], l1 in [0.1..0.9])",0.035145,0.028708,0.045026,0.384926
5a. Lasso (alpha=0.01),0.037525,0.029045,-0.0887,0.155485
5b. Lasso (GridCV: alpha in [1e-4..0.1]),0.034858,0.028644,0.060529,0.391377
"6. Random Forest (depth=2, n=100)",0.040163,0.030863,-0.247144,0.534913
"7. Gradient Boosting (depth=2, lr=0.05, n=50)",0.04516,0.033752,-0.576801,0.777657
"8. SVR (RBF, C=1.0, eps=0.01)",0.042689,0.033402,-0.408959,0.768487
9a. KNN Regressor (k=3),0.037973,0.030976,-0.114867,0.494499
9b. KNN Regressor (k=5),0.039784,0.031453,-0.223749,0.145147
